Date : 2024-04-29 11:57:16
Directory : d:\CongNgheMoi\Zalo_ReactJS_Frontend\src
Total : 98 files,  5564 codes, 115 comments, 436 blanks, all 6115 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript JSX |         53 |      3,798 |         90 |        356 |      4,244 |
| SCSS           |         35 |      1,519 |          6 |         50 |      1,575 |
| JavaScript     |         10 |        247 |         19 |         30 |        296 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                         |         98 |      5,564 |        115 |        436 |      6,115 |
| . (Files)                                                                                 |          2 |         18 |          9 |          7 |         34 |
| components                                                                                |         61 |      2,677 |         35 |        229 |      2,941 |
| components (Files)                                                                        |          3 |          8 |          0 |          0 |          8 |
| components\customize                                                                      |          6 |        149 |          2 |         27 |        178 |
| components\drawer                                                                         |          2 |        214 |          0 |         16 |        230 |
| components\login                                                                          |          3 |         37 |         -5 |          2 |         34 |
| components\modal                                                                          |         27 |      1,693 |         39 |        133 |      1,865 |
| components\navigator                                                                      |          1 |         30 |         -1 |         10 |         39 |
| components\popover                                                                        |          8 |        268 |          0 |         36 |        304 |
| components\upload                                                                         |          2 |        169 |          0 |          9 |        178 |
| components\user                                                                           |          9 |        109 |          0 |         -4 |        105 |
| layouts                                                                                   |          3 |        156 |          2 |         15 |        173 |
| pages                                                                                     |         20 |      2,197 |         49 |        123 |      2,369 |
| pages (Files)                                                                             |          3 |        -38 |         -1 |          4 |        -35 |
| pages\main                                                                                |         12 |      2,054 |         32 |         95 |      2,181 |
| pages\main (Files)                                                                        |          1 |          9 |          0 |         -1 |          8 |
| pages\main\chat                                                                           |          5 |      1,845 |         32 |         79 |      1,956 |
| pages\main\friend                                                                         |          6 |        200 |          0 |         17 |        217 |
| pages\sidebar                                                                             |          5 |        181 |         18 |         24 |        223 |
| redux                                                                                     |          6 |        113 |          0 |         15 |        128 |
| redux\actions                                                                             |          2 |         30 |          0 |          9 |         39 |
| redux\reducers                                                                            |          2 |         24 |          0 |          1 |         25 |
| redux\types                                                                               |          2 |         59 |          0 |          5 |         64 |
| utils                                                                                     |          4 |        134 |         19 |         15 |        168 |
| windows                                                                                   |          2 |        269 |          1 |         32 |        302 |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                  | language       | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\customize\dropImage.jsx               | JavaScript JSX |         22 |          1 |          6 |         29 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\customize\dropImage.scss              | SCSS           |          7 |          0 |          1 |          8 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\customize\inputSearchSticky.jsx       | JavaScript JSX |         59 |          0 |          8 |         67 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\customize\inputSearchSticky.scss      | SCSS           |         37 |          0 |          2 |         39 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\customize\tym.jsx                     | JavaScript JSX |          1 |          0 |          6 |          7 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\customize\wrapperVideo.jsx            | JavaScript JSX |         23 |          1 |          4 |         28 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\drawer\members.drawer.jsx             | JavaScript JSX |        136 |          0 |         14 |        150 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\drawer\members.drawer.scss            | SCSS           |         78 |          0 |          2 |         80 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\login\phone.login.jsx                 | JavaScript JSX |          4 |          0 |         -1 |          3 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\login\qr.login.jsx                    | JavaScript JSX |         15 |         -5 |          3 |         13 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\login\qr.login.scss                   | SCSS           |         18 |          0 |          0 |         18 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\addFriend.modal.jsx             | JavaScript JSX |          5 |          0 |          0 |          5 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\addMember.modal.jsx             | JavaScript JSX |        117 |          0 |         12 |        129 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\addMember.modal.scss            | SCSS           |         15 |          0 |          1 |         16 |
