"filename", "language", "JavaScript JSX", "JavaScript", "JSON", "SCSS", "CSS", "comment", "blank", "total"
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\customize\dropImage.jsx", "JavaScript JSX", 22, 0, 0, 0, 0, 1, 6, 29
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\customize\dropImage.scss", "SCSS", 0, 0, 0, 7, 0, 0, 1, 8
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\customize\inputSearchSticky.jsx", "JavaScript JSX", 59, 0, 0, 0, 0, 0, 8, 67
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\customize\inputSearchSticky.scss", "SCSS", 0, 0, 0, 37, 0, 0, 2, 39
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\customize\tym.css", "CSS", 0, 0, 0, 0, 60, 0, 6, 66
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\customize\tym.jsx", "JavaScript JSX", 72, 0, 0, 0, 0, 0, 8, 80
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\customize\wrapperVideo.jsx", "JavaScript JSX", 23, 0, 0, 0, 0, 1, 4, 28
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\drawer\members.drawer.jsx", "JavaScript JSX", 136, 0, 0, 0, 0, 0, 14, 150
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\drawer\members.drawer.scss", "SCSS", 0, 0, 0, 78, 0, 0, 2, 80
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\login\login.jsx", "JavaScript JSX", 30, 0, 0, 0, 0, 1, 7, 38
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\login\login.scss", "SCSS", 0, 0, 0, 24, 0, 0, 1, 25
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\login\phone.login.jsx", "JavaScript JSX", 69, 0, 0, 0, 0, 0, 7, 76
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\login\phone.login.scss", "SCSS", 0, 0, 0, 13, 0, 0, 1, 14
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\login\qr.login.jsx", "JavaScript JSX", 82, 0, 0, 0, 0, 1, 6, 89
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\login\qr.login.scss", "SCSS", 0, 0, 0, 31, 0, 0, 1, 32
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\addFriend.modal.jsx", "JavaScript JSX", 91, 0, 0, 0, 0, 4, 11, 106
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\addFriend.modal.scss", "SCSS", 0, 0, 0, 8, 0, 0, 1, 9
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\addMember.modal.jsx", "JavaScript JSX", 117, 0, 0, 0, 0, 0, 12, 129
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\addMember.modal.scss", "SCSS", 0, 0, 0, 15, 0, 0, 1, 16
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\changeBackground.modal.jsx", "JavaScript JSX", 81, 0, 0, 0, 0, 1, 14, 96
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\changeBackground.modal.scss", "SCSS", 0, 0, 0, 47, 0, 1, 1, 49
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\changePassword.modal.jsx", "JavaScript JSX", 112, 0, 0, 0, 0, 1, 7, 120
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\chooseImage.modal.jsx", "JavaScript JSX", 121, 0, 0, 0, 0, 0, 16, 137
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\chooseImage.modal.scss", "SCSS", 0, 0, 0, 49, 0, 0, 3, 52
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\disbandGroup.modal.jsx", "JavaScript JSX", 93, 0, 0, 0, 0, 0, 10, 103
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\disbandGroup.modal.scss", "SCSS", 0, 0, 0, 20, 0, 0, 1, 21
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\forgotPassword.modal.jsx", "JavaScript JSX", 78, 0, 0, 0, 0, 0, 16, 94
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\forward.modal.jsx", "JavaScript JSX", 134, 0, 0, 0, 0, 0, 17, 151
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\forward.modal.scss", "SCSS", 0, 0, 0, 28, 0, 0, 1, 29
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\grant.modal.jsx", "JavaScript JSX", 74, 0, 0, 0, 0, 0, 7, 81
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\grant.modal.scss", "SCSS", 0, 0, 0, 24, 0, 0, 1, 25
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\infoGroup.modal.jsx", "JavaScript JSX", 177, 0, 0, 0, 0, 1, 17, 195
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\infoGroup.modal.scss", "SCSS", 0, 0, 0, 63, 0, 0, 3, 66
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\inforUser.modal.jsx", "JavaScript JSX", 409, 0, 0, 0, 0, 5, 28, 442
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\inforUser.modal.scss", "SCSS", 0, 0, 0, 195, 0, 1, 7, 203
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\leaveGroup.modal.jsx", "JavaScript JSX", 46, 0, 0, 0, 0, 0, 4, 50
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\mic.modal.jsx", "JavaScript JSX", 100, 0, 0, 0, 0, 6, 11, 117
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\mic.modal.scss", "SCSS", 0, 0, 0, 24, 0, 0, 1, 25
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\newGroupChat.modal.jsx", "JavaScript JSX", 288, 0, 0, 0, 0, 1, 24, 313
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\newGroupChat.modal.scss", "SCSS", 0, 0, 0, 130, 0, 0, 2, 132
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\pins.modal.jsx", "JavaScript JSX", 79, 0, 0, 0, 0, 0, 5, 84
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\pins.modal.scss", "SCSS", 0, 0, 0, 19, 0, 0, 1, 20
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\setting.modal.jsx", "JavaScript JSX", 165, 0, 0, 0, 0, 31, 20, 216
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\setting.modal.scss", "SCSS", 0, 0, 0, 103, 0, 0, 4, 107
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\navigator\sidebar.jsx", "JavaScript JSX", 182, 0, 0, 0, 0, 0, 27, 209
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\navigator\sidebar.scss", "SCSS", 0, 0, 0, 41, 0, 0, 4, 45
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\navigator\wrapperItem.sidebar.jsx", "JavaScript JSX", 11, 0, 0, 0, 0, 0, 2, 13
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\navigator\wrapperItem.sidebar.scss", "SCSS", 0, 0, 0, 19, 0, 0, 1, 20
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\popover\chat.popover.jsx", "JavaScript JSX", 77, 0, 0, 0, 0, 0, 14, 91
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\popover\chat.popover.scss", "SCSS", 0, 0, 0, 18, 0, 0, 2, 20
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\popover\chooseFileUpload.popover.jsx", "JavaScript JSX", 52, 0, 0, 0, 0, 0, 8, 60
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\popover\chooseFileUpload.popover.scss", "SCSS", 0, 0, 0, 17, 0, 0, 1, 18
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\popover\friend.popover.jsx", "JavaScript JSX", 36, 0, 0, 0, 0, 0, 5, 41
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\popover\friend.popover.scss", "SCSS", 0, 0, 0, 13, 0, 0, 1, 14
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\popover\sticky.popover.jsx", "JavaScript JSX", 86, 0, 0, 0, 0, 0, 13, 99
