Date : 2024-04-29 11:57:25
Directory : d:\CongNgheMoi\Zalo_ReactJS_Frontend\src
Total : 129 files,  11329 codes, 205 comments, 987 blanks, all 12521 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript JSX |         61 |      7,550 |        146 |        763 |      8,459 |
| SCSS           |         49 |      3,063 |         28 |        128 |      3,219 |
| JavaScript     |         17 |        637 |         31 |         90 |        758 |
| CSS            |          1 |         60 |          0 |          6 |         66 |
| JSON           |          1 |         19 |          0 |          0 |         19 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                         |        129 |     11,329 |        205 |        987 |     12,521 |
| . (Files)                                                                                 |          3 |        135 |         10 |         23 |        168 |
| components                                                                                |         70 |      5,422 |         71 |        493 |      5,986 |
| components (Files)                                                                        |          4 |        504 |         12 |         52 |        568 |
| components\customize                                                                      |          7 |        280 |          2 |         35 |        317 |
| components\drawer                                                                         |          2 |        214 |          0 |         16 |        230 |
| components\login                                                                          |          6 |        249 |          2 |         23 |        274 |
| components\modal                                                                          |         29 |      2,890 |         52 |        246 |      3,188 |
| components\navigator                                                                      |          4 |        253 |          0 |         34 |        287 |
| components\popover                                                                        |          8 |        316 |          0 |         45 |        361 |
| components\route                                                                          |          1 |         10 |          0 |          1 |         11 |
| components\upload                                                                         |          2 |        169 |          0 |          9 |        178 |
| components\user                                                                           |          7 |        537 |          3 |         32 |        572 |
| layouts                                                                                   |          5 |        343 |          6 |         34 |        383 |
| mocks                                                                                     |          1 |         19 |          0 |          0 |         19 |
| pages                                                                                     |         31 |      4,504 |         86 |        315 |      4,905 |
| pages (Files)                                                                             |          5 |         93 |          0 |         18 |        111 |
| pages\auth                                                                                |          2 |         81 |          3 |         11 |         95 |
| pages\main                                                                                |         17 |      3,874 |         64 |        234 |      4,172 |
| pages\main (Files)                                                                        |          3 |        263 |          3 |         13 |        279 |
| pages\main\chat                                                                           |          6 |      3,175 |         61 |        178 |      3,414 |
| pages\main\friend                                                                         |          8 |        436 |          0 |         43 |        479 |
| pages\sidebar                                                                             |          7 |        456 |         19 |         52 |        527 |
| redux                                                                                     |          8 |        367 |          0 |         49 |        416 |
| redux (Files)                                                                             |          2 |         22 |          0 |          6 |         28 |
| redux\actions                                                                             |          2 |         89 |          0 |         19 |        108 |
| redux\reducers                                                                            |          2 |        137 |          0 |         12 |        149 |
| redux\types                                                                               |          2 |        119 |          0 |         12 |        131 |
| type                                                                                      |          1 |          4 |          0 |          0 |          4 |
| utils                                                                                     |          8 |        266 |         31 |         41 |        338 |
| windows                                                                                   |          2 |        269 |          1 |         32 |        302 |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                  | language       | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\customize\dropImage.jsx               | JavaScript JSX |         22 |          1 |          6 |         29 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\customize\dropImage.scss              | SCSS           |          7 |          0 |          1 |          8 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\customize\inputSearchSticky.jsx       | JavaScript JSX |         59 |          0 |          8 |         67 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\customize\inputSearchSticky.scss      | SCSS           |         37 |          0 |          2 |         39 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\customize\tym.css                     | CSS            |         60 |          0 |          6 |         66 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\customize\tym.jsx                     | JavaScript JSX |         72 |          0 |          8 |         80 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\customize\wrapperVideo.jsx            | JavaScript JSX |         23 |          1 |          4 |         28 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\drawer\members.drawer.jsx             | JavaScript JSX |        136 |          0 |         14 |        150 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\drawer\members.drawer.scss            | SCSS           |         78 |          0 |          2 |         80 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\login\login.jsx                       | JavaScript JSX |         30 |          1 |          7 |         38 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\login\login.scss                      | SCSS           |         24 |          0 |          1 |         25 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\login\phone.login.jsx                 | JavaScript JSX |         69 |          0 |          7 |         76 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\login\phone.login.scss                | SCSS           |         13 |          0 |          1 |         14 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\login\qr.login.jsx                    | JavaScript JSX |         82 |          1 |          6 |         89 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\login\qr.login.scss                   | SCSS           |         31 |          0 |          1 |         32 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\addFriend.modal.jsx             | JavaScript JSX |         91 |          4 |         11 |        106 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\addFriend.modal.scss            | SCSS           |          8 |          0 |          1 |          9 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\addMember.modal.jsx             | JavaScript JSX |        117 |          0 |         12 |        129 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\addMember.modal.scss            | SCSS           |         15 |          0 |          1 |         16 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\changeBackground.modal.jsx      | JavaScript JSX |         81 |          1 |         14 |         96 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\changeBackground.modal.scss     | SCSS           |         47 |          1 |          1 |         49 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\changePassword.modal.jsx        | JavaScript JSX |        112 |          1 |          7 |        120 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\chooseImage.modal.jsx           | JavaScript JSX |        121 |          0 |         16 |        137 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\chooseImage.modal.scss          | SCSS           |         49 |          0 |          3 |         52 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\disbandGroup.modal.jsx          | JavaScript JSX |         93 |          0 |         10 |        103 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\disbandGroup.modal.scss         | SCSS           |         20 |          0 |          1 |         21 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\forgotPassword.modal.jsx        | JavaScript JSX |         78 |          0 |         16 |         94 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\forward.modal.jsx               | JavaScript JSX |        134 |          0 |         17 |        151 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\forward.modal.scss              | SCSS           |         28 |          0 |          1 |         29 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\grant.modal.jsx                 | JavaScript JSX |         74 |          0 |          7 |         81 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\grant.modal.scss                | SCSS           |         24 |          0 |          1 |         25 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\infoGroup.modal.jsx             | JavaScript JSX |        177 |          1 |         17 |        195 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\infoGroup.modal.scss            | SCSS           |         63 |          0 |          3 |         66 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\inforUser.modal.jsx             | JavaScript JSX |        409 |          5 |         28 |        442 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\inforUser.modal.scss            | SCSS           |        195 |          1 |          7 |        203 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\leaveGroup.modal.jsx            | JavaScript JSX |         46 |          0 |          4 |         50 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\mic.modal.jsx                   | JavaScript JSX |        100 |          6 |         11 |        117 |
| d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\mic.modal.scss                  | SCSS           |         24 |          0 |          1 |         25 |
